

Space Ship #1: Impulse Engine
--------------------------------------------

    64 Years         69,318,661,666,330 Km   17.45%        34,344.940 Km/sec    1.14% Light
    65 Years         70,401,765,754,866 Km   17.72%        34,344.940 Km/sec    1.14% Light
    66 Years         71,484,869,843,402 Km   17.99%        34,344.940 Km/sec    1.14% Light
    67 Years         72,567,973,931,939 Km   18.26%        34,344.940 Km/sec    1.14% Light
    68 Years         73,651,078,020,475 Km   18.54%        34,344.940 Km/sec    1.14% Light
    69 Years         74,734,182,109,012 Km   18.81%        34,344.940 Km/sec    1.14% Light
    70 Years         75,817,286,197,548 Km   19.08%        34,344.940 Km/sec    1.14% Light
    71 Years         76,900,390,286,084 Km   19.35%        34,344.940 Km/sec    1.14% Light
    72 Years         77,983,494,374,621 Km   19.63%        34,344.940 Km/sec    1.14% Light
    73 Years         79,066,598,463,157 Km   19.90%        34,344.940 Km/sec    1.14% Light
    74 Years         80,149,702,551,694 Km   20.17%        34,344.940 Km/sec    1.14% Light
    75 Years         81,232,806,640,230 Km   20.44%        34,344.940 Km/sec    1.14% Light
    76 Years         82,315,910,728,766 Km   20.72%        34,344.940 Km/sec    1.14% Light
    77 Years         83,399,014,817,303 Km   20.99%        34,344.940 Km/sec    1.14% Light
    78 Years         84,482,118,905,839 Km   21.26%        34,344.940 Km/sec    1.14% Light
    79 Years         85,565,222,994,376 Km   21.53%        34,344.940 Km/sec    1.14% Light
    80 Years         86,648,327,082,912 Km   21.81%        34,344.940 Km/sec    1.14% Light
    81 Years         87,731,431,171,448 Km   22.08%        34,344.940 Km/sec    1.14% Light
    82 Years         88,814,535,259,985 Km   22.35%        34,344.940 Km/sec    1.14% Light
    83 Years         89,897,639,348,521 Km   22.62%        34,344.940 Km/sec    1.14% Light
    84 Years         90,980,743,437,058 Km   22.90%        34,344.940 Km/sec    1.14% Light
    85 Years         92,063,847,525,594 Km   23.17%        34,344.940 Km/sec    1.14% Light
    86 Years         93,146,951,614,130 Km   23.44%        34,344.940 Km/sec    1.14% Light
    87 Years         94,230,055,702,667 Km   23.71%        34,344.940 Km/sec    1.14% Light
    88 Years         95,313,159,791,203 Km   23.99%        34,344.940 Km/sec    1.14% Light
    89 Years         96,396,263,879,740 Km   24.26%        34,344.940 Km/sec    1.14% Light
    90 Years         97,479,367,968,276 Km   24.53%        34,344.940 Km/sec    1.14% Light
    91 Years         98,562,472,056,812 Km   24.80%        34,344.940 Km/sec    1.14% Light
    92 Years         99,645,576,145,349 Km   25.08%        34,344.940 Km/sec    1.14% Light
    93 Years        100,728,680,233,885 Km   25.35%        34,344.940 Km/sec    1.14% Light
    94 Years        101,811,784,322,422 Km   25.62%        34,344.940 Km/sec    1.14% Light
    95 Years        102,894,888,410,958 Km   25.90%        34,344.940 Km/sec    1.14% Light
    96 Years        103,977,992,499,494 Km   26.17%        34,344.940 Km/sec    1.14% Light
    97 Years        105,061,096,588,031 Km   26.44%        34,344.940 Km/sec    1.14% Light
    98 Years        106,144,200,676,567 Km   26.71%        34,344.940 Km/sec    1.14% Light
    99 Years        107,227,304,765,104 Km   26.99%        34,344.940 Km/sec    1.14% Light
   100 Years        108,310,408,853,640 Km   27.26%        34,344.940 Km/sec    1.14% Light
   101 Years        109,393,512,942,176 Km   27.53%        34,344.940 Km/sec    1.14% Light
   102 Years        110,476,617,030,713 Km   27.80%        34,344.940 Km/sec    1.14% Light
   103 Years        111,559,721,119,249 Km   28.08%        34,344.940 Km/sec    1.14% Light
   104 Years        112,642,825,207,786 Km   28.35%        34,344.940 Km/sec    1.14% Light
   105 Years        113,725,929,296,322 Km   28.62%        34,344.940 Km/sec    1.14% Light
   106 Years        114,809,033,384,858 Km   28.89%        34,344.940 Km/sec    1.14% Light
   107 Years        115,892,137,473,395 Km   29.17%        34,344.940 Km/sec    1.14% Light
   108 Years        116,975,241,561,931 Km   29.44%        34,344.940 Km/sec    1.14% Light
   109 Years        118,058,345,650,468 Km   29.71%        34,344.940 Km/sec    1.14% Light
   110 Years        119,141,449,739,004 Km   29.98%        34,344.940 Km/sec    1.14% Light
   111 Years        120,224,553,827,540 Km   30.26%        34,344.940 Km/sec    1.14% Light
   112 Years        121,307,657,916,077 Km   30.53%        34,344.940 Km/sec    1.14% Light
   113 Years        122,390,762,004,613 Km   30.80%        34,344.940 Km/sec    1.14% Light
   114 Years        123,473,866,093,150 Km   31.07%        34,344.940 Km/sec    1.14% Light
   115 Years        124,556,970,181,686 Km   31.35%        34,344.940 Km/sec    1.14% Light
   116 Years        125,640,074,270,222 Km   31.62%        34,344.940 Km/sec    1.14% Light
   117 Years        126,723,178,358,759 Km   31.89%        34,344.940 Km/sec    1.14% Light
   118 Years        127,806,282,447,295 Km   32.16%        34,344.940 Km/sec    1.14% Light
   119 Years        128,889,386,535,832 Km   32.44%        34,344.940 Km/sec    1.14% Light
   120 Years        129,972,490,624,368 Km   32.71%        34,344.940 Km/sec    1.14% Light
   121 Years        131,055,594,712,904 Km   32.98%        34,344.940 Km/sec    1.14% Light
   122 Years        132,138,698,801,441 Km   33.25%        34,344.940 Km/sec    1.14% Light
   123 Years        133,221,802,889,977 Km   33.53%        34,344.940 Km/sec    1.14% Light
   124 Years        134,304,906,978,514 Km   33.80%        34,344.940 Km/sec    1.14% Light
   125 Years        135,388,011,067,050 Km   34.07%        34,344.940 Km/sec    1.14% Light
   126 Years        136,471,115,155,586 Km   34.35%        34,344.940 Km/sec    1.14% Light
   127 Years        137,554,219,244,123 Km   34.62%        34,344.940 Km/sec    1.14% Light
   128 Years        138,637,323,332,659 Km   34.89%        34,344.940 Km/sec    1.14% Light
   129 Years        139,720,427,421,196 Km   35.16%        34,344.940 Km/sec    1.14% Light
   130 Years        140,803,531,509,732 Km   35.44%        34,344.940 Km/sec    1.14% Light
   131 Years        141,886,635,598,268 Km   35.71%        34,344.940 Km/sec    1.14% Light
   132 Years        142,969,739,686,805 Km   35.98%        34,344.940 Km/sec    1.14% Light
   133 Years        144,052,843,775,341 Km   36.25%        34,344.940 Km/sec    1.14% Light
   134 Years        145,135,947,863,878 Km   36.53%        34,344.940 Km/sec    1.14% Light
   135 Years        146,219,051,952,414 Km   36.80%        34,344.940 Km/sec    1.14% Light
   136 Years        147,302,156,040,950 Km   37.07%        34,344.940 Km/sec    1.14% Light
   137 Years        148,385,260,129,487 Km   37.34%        34,344.940 Km/sec    1.14% Light
   138 Years        149,468,364,218,023 Km   37.62%        34,344.940 Km/sec    1.14% Light
   139 Years        150,551,468,306,560 Km   37.89%        34,344.940 Km/sec    1.14% Light
   140 Years        151,634,572,395,096 Km   38.16%        34,344.940 Km/sec    1.14% Light
   141 Years        152,717,676,483,632 Km   38.43%        34,344.940 Km/sec    1.14% Light
   142 Years        153,800,780,572,169 Km   38.71%        34,344.940 Km/sec    1.14% Light
   143 Years        154,883,884,660,705 Km   38.98%        34,344.940 Km/sec    1.14% Light
   144 Years        155,966,988,749,242 Km   39.25%        34,344.940 Km/sec    1.14% Light
   145 Years        157,050,092,837,778 Km   39.52%        34,344.940 Km/sec    1.14% Light
   146 Years        158,133,196,926,314 Km   39.80%        34,344.940 Km/sec    1.14% Light
   147 Years        159,216,301,014,851 Km   40.07%        34,344.940 Km/sec    1.14% Light
   148 Years        160,299,405,103,387 Km   40.34%        34,344.940 Km/sec    1.14% Light
   149 Years        161,382,509,191,924 Km   40.61%        34,344.940 Km/sec    1.14% Light
   150 Years        162,465,613,280,460 Km   40.89%        34,344.940 Km/sec    1.14% Light
   151 Years        163,548,717,368,996 Km   41.16%        34,344.940 Km/sec    1.14% Light
   152 Years        164,631,821,457,533 Km   41.43%        34,344.940 Km/sec    1.14% Light
   153 Years        165,714,925,546,069 Km   41.70%        34,344.940 Km/sec    1.14% Light
   154 Years        166,798,029,634,606 Km   41.98%        34,344.940 Km/sec    1.14% Light
   155 Years        167,881,133,723,142 Km   42.25%        34,344.940 Km/sec    1.14% Light
   156 Years        168,964,237,811,678 Km   42.52%        34,344.940 Km/sec    1.14% Light
   157 Years        170,047,341,900,215 Km   42.79%        34,344.940 Km/sec    1.14% Light
   158 Years        171,130,445,988,751 Km   43.07%        34,344.940 Km/sec    1.14% Light
   159 Years        172,213,550,077,288 Km   43.34%        34,344.940 Km/sec    1.14% Light
   160 Years        173,296,654,165,824 Km   43.61%        34,344.940 Km/sec    1.14% Light
   161 Years        174,379,758,254,360 Km   43.89%        34,344.940 Km/sec    1.14% Light
   162 Years        175,462,862,342,897 Km   44.16%        34,344.940 Km/sec    1.14% Light
   163 Years        176,545,966,431,433 Km   44.43%        34,344.940 Km/sec    1.14% Light
   164 Years        177,629,070,519,970 Km   44.70%        34,344.940 Km/sec    1.14% Light
   165 Years        178,712,174,608,506 Km   44.98%        34,344.940 Km/sec    1.14% Light
   166 Years        179,795,278,697,042 Km   45.25%        34,344.940 Km/sec    1.14% Light
   167 Years        180,878,382,785,579 Km   45.52%        34,344.940 Km/sec    1.14% Light
   168 Years        181,961,486,874,115 Km   45.79%        34,344.940 Km/sec    1.14% Light
   169 Years        183,044,590,962,652 Km   46.07%        34,344.940 Km/sec    1.14% Light
   170 Years        184,127,695,051,188 Km   46.34%        34,344.940 Km/sec    1.14% Light
   171 Years        185,210,799,139,724 Km   46.61%        34,344.940 Km/sec    1.14% Light
   172 Years        186,293,903,228,261 Km   46.88%        34,344.940 Km/sec    1.14% Light
   173 Years        187,377,007,316,797 Km   47.16%        34,344.940 Km/sec    1.14% Light
   174 Years        188,460,111,405,334 Km   47.43%        34,344.940 Km/sec    1.14% Light
   175 Years        189,543,215,493,870 Km   47.70%        34,344.940 Km/sec    1.14% Light
   176 Years        190,626,319,582,406 Km   47.97%        34,344.940 Km/sec    1.14% Light
   177 Years        191,709,423,670,943 Km   48.25%        34,344.940 Km/sec    1.14% Light
   178 Years        192,792,527,759,479 Km   48.52%        34,344.940 Km/sec    1.14% Light
   179 Years        193,875,631,848,016 Km   48.79%        34,344.940 Km/sec    1.14% Light
   180 Years        194,958,735,936,552 Km   49.06%        34,344.940 Km/sec    1.14% Light
   181 Years        196,041,840,025,088 Km   49.34%        34,344.940 Km/sec    1.14% Light
   182 Years        197,124,944,113,625 Km   49.61%        34,344.940 Km/sec    1.14% Light
   183 Years        198,208,048,202,161 Km   49.88%        34,344.940 Km/sec    1.14% Light
   184 Years        199,291,152,290,698 Km   50.15%        34,344.940 Km/sec    1.14% Light
   185 Years        200,374,256,379,234 Km   50.43%        34,344.940 Km/sec    1.14% Light
   186 Years        201,457,360,467,770 Km   50.70%        34,344.940 Km/sec    1.14% Light
   187 Years        202,540,464,556,307 Km   50.97%        34,344.940 Km/sec    1.14% Light
   188 Years        203,623,568,644,843 Km   51.24%        34,344.940 Km/sec    1.14% Light
   189 Years        204,706,672,733,380 Km   51.52%        34,344.940 Km/sec    1.14% Light
   190 Years        205,789,776,821,916 Km   51.79%        34,344.940 Km/sec    1.14% Light
   191 Years        206,872,880,910,452 Km   52.06%        34,344.940 Km/sec    1.14% Light
   192 Years        207,955,984,998,989 Km   52.34%        34,344.940 Km/sec    1.14% Light
   193 Years        209,039,089,087,525 Km   52.61%        34,344.940 Km/sec    1.14% Light
   194 Years        210,122,193,176,062 Km   52.88%        34,344.940 Km/sec    1.14% Light
   195 Years        211,205,297,264,598 Km   53.15%        34,344.940 Km/sec    1.14% Light
   196 Years        212,288,401,353,134 Km   53.43%        34,344.940 Km/sec    1.14% Light
   197 Years        213,371,505,441,671 Km   53.70%        34,344.940 Km/sec    1.14% Light
   198 Years        214,454,609,530,207 Km   53.97%        34,344.940 Km/sec    1.14% Light
   199 Years        215,537,713,618,744 Km   54.24%        34,344.940 Km/sec    1.14% Light
   200 Years        216,620,817,707,280 Km   54.52%        34,344.940 Km/sec    1.14% Light
   201 Years        217,703,921,795,816 Km   54.79%        34,344.940 Km/sec    1.14% Light
   202 Years        218,787,025,884,353 Km   55.06%        34,344.940 Km/sec    1.14% Light
   203 Years        219,870,129,972,889 Km   55.33%        34,344.940 Km/sec    1.14% Light
   204 Years        220,953,234,061,426 Km   55.61%        34,344.940 Km/sec    1.14% Light
   205 Years        222,036,338,149,962 Km   55.88%        34,344.940 Km/sec    1.14% Light
   206 Years        223,119,442,238,498 Km   56.15%        34,344.940 Km/sec    1.14% Light
   207 Years        224,202,546,327,035 Km   56.42%        34,344.940 Km/sec    1.14% Light
   208 Years        225,285,650,415,571 Km   56.70%        34,344.940 Km/sec    1.14% Light
   209 Years        226,368,754,504,108 Km   56.97%        34,344.940 Km/sec    1.14% Light
   210 Years        227,451,858,592,644 Km   57.24%        34,344.940 Km/sec    1.14% Light
   211 Years        228,534,962,681,180 Km   57.51%        34,344.940 Km/sec    1.14% Light
   212 Years        229,618,066,769,717 Km   57.79%        34,344.940 Km/sec    1.14% Light
   213 Years        230,701,170,858,253 Km   58.06%        34,344.940 Km/sec    1.14% Light
   214 Years        231,784,274,946,790 Km   58.33%        34,344.940 Km/sec    1.14% Light
   215 Years        232,867,379,035,326 Km   58.60%        34,344.940 Km/sec    1.14% Light
   216 Years        233,950,483,123,862 Km   58.88%        34,344.940 Km/sec    1.14% Light
   217 Years        235,033,587,212,399 Km   59.15%        34,344.940 Km/sec    1.14% Light
   218 Years        236,116,691,300,935 Km   59.42%        34,344.940 Km/sec    1.14% Light
   219 Years        237,199,795,389,472 Km   59.69%        34,344.940 Km/sec    1.14% Light
   220 Years        238,282,899,478,008 Km   59.97%        34,344.940 Km/sec    1.14% Light
   221 Years        239,366,003,566,544 Km   60.24%        34,344.940 Km/sec    1.14% Light
   222 Years        240,449,107,655,081 Km   60.51%        34,344.940 Km/sec    1.14% Light
   223 Years        241,532,211,743,617 Km   60.79%        34,344.940 Km/sec    1.14% Light
   224 Years        242,615,315,832,154 Km   61.06%        34,344.940 Km/sec    1.14% Light
   225 Years        243,698,419,920,690 Km   61.33%        34,344.940 Km/sec    1.14% Light
   226 Years        244,781,524,009,226 Km   61.60%        34,344.940 Km/sec    1.14% Light
   227 Years        245,864,628,097,763 Km   61.88%        34,344.940 Km/sec    1.14% Light
